127.0.0.1 - - [17/Mar/2023:00:02:29 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:02:31 +0530] "GET /project_3/ HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:27:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:27:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:27:13 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:28:22 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:28:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9862
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:28:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:29:04 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18260
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:29:10 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17065
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:29:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:29:17 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:29:17 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18260
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:29:31 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17065
0:0:0:0:0:0:0:1 - - [17/Mar/2023:00:29:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
